	ligand	receptor	annotation	pathway
SLC6A4_TPH1|HTR2A	SLC6A4_TPH1	HTR2A	Non-protein Signaling	5-HT
SLC6A4_TPH1|HTR2B	SLC6A4_TPH1	HTR2B	Non-protein Signaling	5-HT
SLC6A4_TPH1|HTR2C	SLC6A4_TPH1	HTR2C	Non-protein Signaling	5-HT
SLC6A4_TPH1|HTR3A_HTR3C_HTR3E_HTR3B_HTR3D	SLC6A4_TPH1	HTR3A_HTR3C_HTR3E_HTR3B_HTR3D	Non-protein Signaling	5-HT
SLC6A4_TPH1|HTR4	SLC6A4_TPH1	HTR4	Non-protein Signaling	5-HT
SLC6A4_TPH1|HTR5A	SLC6A4_TPH1	HTR5A	Non-protein Signaling	5-HT
SLC6A4_TPH1|HTR6	SLC6A4_TPH1	HTR6	Non-protein Signaling	5-HT
SLC6A4_TPH1|HTR7	SLC6A4_TPH1	HTR7	Non-protein Signaling	5-HT
SLC6A4_TPH2|HTR1A	SLC6A4_TPH2	HTR1A	Non-protein Signaling	5-HT
SLC6A4_TPH2|HTR1B	SLC6A4_TPH2	HTR1B	Non-protein Signaling	5-HT
SLC6A4_TPH2|HTR1D	SLC6A4_TPH2	HTR1D	Non-protein Signaling	5-HT
SLC6A4_TPH2|HTR1E	SLC6A4_TPH2	HTR1E	Non-protein Signaling	5-HT
SLC6A4_TPH2|HTR1F	SLC6A4_TPH2	HTR1F	Non-protein Signaling	5-HT
SLC6A4_TPH2|HTR2A	SLC6A4_TPH2	HTR2A	Non-protein Signaling	5-HT
SLC6A4_TPH2|HTR2B	SLC6A4_TPH2	HTR2B	Non-protein Signaling	5-HT
SLC6A4_TPH2|HTR2C	SLC6A4_TPH2	HTR2C	Non-protein Signaling	5-HT
SLC6A4_TPH2|HTR3A_HTR3C_HTR3E_HTR3B_HTR3D	SLC6A4_TPH2	HTR3A_HTR3C_HTR3E_HTR3B_HTR3D	Non-protein Signaling	5-HT
SLC6A4_TPH2|HTR4	SLC6A4_TPH2	HTR4	Non-protein Signaling	5-HT
SLC6A4_TPH2|HTR5A	SLC6A4_TPH2	HTR5A	Non-protein Signaling	5-HT
SLC6A4_TPH2|HTR6	SLC6A4_TPH2	HTR6	Non-protein Signaling	5-HT
SLC6A4_TPH2|HTR7	SLC6A4_TPH2	HTR7	Non-protein Signaling	5-HT
SLC6A5_SHMT1|GLRA1_GLRB	SLC6A5_SHMT1	GLRA1_GLRB	Non-protein Signaling	Glycine
SLC6A5_SHMT1|GLRA2	SLC6A5_SHMT1	GLRA2	Non-protein Signaling	Glycine
SLC6A5_SHMT2|GLRA1_GLRB	SLC6A5_SHMT2	GLRA1_GLRB	Non-protein Signaling	Glycine
SLC6A5_SHMT2|GLRA2	SLC6A5_SHMT2	GLRA2	Non-protein Signaling	Glycine
SLITRK3|PTPRD	SLITRK3	PTPRD	Secreted	SLITRK
SLURP1|CHRNA1	SLURP1	CHRNA1	Secreted	SLURP
SLURP1|CHRNA10	SLURP1	CHRNA10	Secreted	SLURP
SLURP1|CHRNA2	SLURP1	CHRNA2	Secreted	SLURP
SLURP1|CHRNA3	SLURP1	CHRNA3	Secreted	SLURP
SLURP1|CHRNA4	SLURP1	CHRNA4	Secreted	SLURP
SLURP1|CHRNA5	SLURP1	CHRNA5	Secreted	SLURP
SLURP1|CHRNA6	SLURP1	CHRNA6	Secreted	SLURP
SLURP1|CHRNA7	SLURP1	CHRNA7	Secreted	SLURP
SLURP1|CHRNA9	SLURP1	CHRNA9	Secreted	SLURP
SLURP1|CHRNB1	SLURP1	CHRNB1	Secreted	SLURP
SLURP1|CHRNB2	SLURP1	CHRNB2	Secreted	SLURP
SLURP1|CHRNB3	SLURP1	CHRNB3	Secreted	SLURP
SLURP1|CHRNB4	SLURP1	CHRNB4	Secreted	SLURP
SLURP1|CHRND	SLURP1	CHRND	Secreted	SLURP
SLURP1|CHRNE	SLURP1	CHRNE	Secreted	SLURP
SLURP1|CHRNG	SLURP1	CHRNG	Secreted	SLURP
SLURP2|CHRNA1	SLURP2	CHRNA1	Secreted	SLURP
SLURP2|CHRNA10	SLURP2	CHRNA10	Secreted	SLURP
SLURP2|CHRNA2	SLURP2	CHRNA2	Secreted	SLURP
SLURP2|CHRNA3	SLURP2	CHRNA3	Secreted	SLURP
SLURP2|CHRNA4	SLURP2	CHRNA4	Secreted	SLURP
SLURP2|CHRNA5	SLURP2	CHRNA5	Secreted	SLURP
SLURP2|CHRNA6	SLURP2	CHRNA6	Secreted	SLURP
SLURP2|CHRNA7	SLURP2	CHRNA7	Secreted	SLURP
SLURP2|CHRNA9	SLURP2	CHRNA9	Secreted	SLURP
SLURP2|CHRNB1	SLURP2	CHRNB1	Secreted	SLURP
SLURP2|CHRNB2	SLURP2	CHRNB2	Secreted	SLURP
SLURP2|CHRNB3	SLURP2	CHRNB3	Secreted	SLURP
SLURP2|CHRNB4	SLURP2	CHRNB4	Secreted	SLURP
SLURP2|CHRND	SLURP2	CHRND	Secreted	SLURP
SLURP2|CHRNE	SLURP2	CHRNE	Secreted	SLURP
SLURP2|CHRNG	SLURP2	CHRNG	Secreted	SLURP
SPP1|ITGAV_ITGB3	SPP1	ITGAV_ITGB3	Secreted	SPP1
SST|SSTR1	SST	SSTR1	Secreted	SOMATOSTATIN
SST|SSTR2	SST	SSTR2	Secreted	SOMATOSTATIN
SST|SSTR3	SST	SSTR3	Secreted	SOMATOSTATIN
SST|SSTR4	SST	SSTR4	Secreted	SOMATOSTATIN
SST|SSTR5	SST	SSTR5	Secreted	SOMATOSTATIN
TAC1|TACR1	TAC1	TACR1	Secreted	TAC
TAC1|TACR2	TAC1	TACR2	Secreted	TAC
TGFA|ERBB2_EGFR	TGFA	ERBB2_EGFR	Secreted	EGF
THBS1|ITGAV_ITGB3	THBS1	ITGAV_ITGB3	ECM-Receptor	THBS
THBS2|ITGAV_ITGB3	THBS2	ITGAV_ITGB3	ECM-Receptor	THBS
THBS3|ITGAV_ITGB3	THBS3	ITGAV_ITGB3	ECM-Receptor	THBS
THBS4|ITGAV_ITGB3	THBS4	ITGAV_ITGB3	ECM-Receptor	THBS
THY1|ITGAV_ITGB3	THY1	ITGAV_ITGB3	Cell-Cell Contact	THY1
TNC|ITGA2B_ITGB3	TNC	ITGA2B_ITGB3	ECM-Receptor	TENASCIN
TNC|ITGAV_ITGB3	TNC	ITGAV_ITGB3	ECM-Receptor	TENASCIN
TNN|ITGA2B_ITGB3	TNN	ITGA2B_ITGB3	ECM-Receptor	TENASCIN
TNN|ITGAV_ITGB3	TNN	ITGAV_ITGB3	ECM-Receptor	TENASCIN
TNR|ITGA2B_ITGB3	TNR	ITGA2B_ITGB3	ECM-Receptor	TENASCIN
TNR|ITGAV_ITGB3	TNR	ITGAV_ITGB3	ECM-Receptor	TENASCIN
TNXB|ITGA2B_ITGB3	TNXB	ITGA2B_ITGB3	ECM-Receptor	TENASCIN
TNXB|ITGAV_ITGB3	TNXB	ITGAV_ITGB3	ECM-Receptor	TENASCIN
TRH|TRHR	TRH	TRHR	Secreted	TRH
VTN|ITGA2B_ITGB3	VTN	ITGA2B_ITGB3	ECM-Receptor	VTN
VTN|ITGAV_ITGB3	VTN	ITGAV_ITGB3	ECM-Receptor	VTN
VWF|ITGA2B_ITGB3	VWF	ITGA2B_ITGB3	ECM-Receptor	VWF
VWF|ITGAV_ITGB3	VWF	ITGAV_ITGB3	ECM-Receptor	VWF
WNT7A|FZD10_LRP5	WNT7A	FZD10_LRP5	Secreted	WNT
WNT7A|FZD10_LRP6	WNT7A	FZD10_LRP6	Secreted	WNT
WNT7A|FZD1_LRP5	WNT7A	FZD1_LRP5	Secreted	WNT
WNT7A|FZD1_LRP6	WNT7A	FZD1_LRP6	Secreted	WNT
WNT7A|FZD2_LRP5	WNT7A	FZD2_LRP5	Secreted	WNT
WNT7A|FZD2_LRP6	WNT7A	FZD2_LRP6	Secreted	WNT
WNT7A|FZD3_LRP6	WNT7A	FZD3_LRP6	Secreted	WNT
WNT7A|FZD4_LRP5	WNT7A	FZD4_LRP5	Secreted	WNT
WNT7A|FZD4_LRP6	WNT7A	FZD4_LRP6	Secreted	WNT
WNT7A|FZD5_LRP5	WNT7A	FZD5_LRP5	Secreted	WNT
WNT7A|FZD5_LRP6	WNT7A	FZD5_LRP6	Secreted	WNT
WNT7A|FZD6_LRP5	WNT7A	FZD6_LRP5	Secreted	WNT
WNT7A|FZD6_LRP6	WNT7A	FZD6_LRP6	Secreted	WNT
WNT7A|FZD7_LRP6	WNT7A	FZD7_LRP6	Secreted	WNT
WNT7A|FZD8_LRP5	WNT7A	FZD8_LRP5	Secreted	WNT
WNT7A|FZD8_LRP6	WNT7A	FZD8_LRP6	Secreted	WNT
WNT7A|FZD9_LRP5	WNT7A	FZD9_LRP5	Secreted	WNT
WNT7A|FZD9_LRP6	WNT7A	FZD9_LRP6	Secreted	WNT
WNT7A|LRP5_FZD3	WNT7A	LRP5_FZD3	Secreted	WNT
WNT7A|LRP5_FZD7	WNT7A	LRP5_FZD7	Secreted	WNT
